Time,Bias,Frequency,Temperature,R,X
1719398176,0.1,374.61,nan,3400790,-3566130
1719398179,0.1,383.35,nan,3342100,-3542800
1719398182,0.1,392.3,nan,3282620,-3516380
1719398185,0.1,401.45,nan,3223810,-3487820
1719398188,0.1,410.82,nan,3162970,-3463590
1719398191,0.1,420.41,nan,3105070,-3435190
1719398194,0.1,430.22,nan,3045960,-3410480
1719398197,0.1,440.27,nan,2987320,-3380100
1719398200,0.1,450.54,nan,2935930,-3355840
1719398203,0.1,461.06,nan,2882980,-3326750
1719398206,0.1,471.82,nan,2823080,-3297400
1719398209,0.1,482.83,nan,2769270,-3268510
1719398212,0.1,494.1,nan,2713540,-3236200
1719398214,0.1,505.63,nan,2663670,-3205890
1719398217,0.1,517.43,nan,2609800,-3176780
1719398220,0.1,529.51,nan,2558310,-3156990
1719398223,0.1,541.87,nan,2508300,-3116200
1719398226,0.1,554.52,nan,2458870,-3085190
1719398229,0.1,567.46,nan,2408860,-3055710
1719398232,0.1,580.71,nan,2363340,-3024940
1719398234,0.1,594.26,nan,2313000,-2994480
1719398237,0.1,608.13,nan,2267170,-2961800
1719398240,0.1,622.32,nan,2221780,-2930520
1719398243,0.1,636.85,nan,2175630,-2899560
1719398246,0.1,651.71,nan,2133480,-2869600
1719398249,0.1,666.92,nan,2087850,-2837440
1719398252,0.1,682.49,nan,2045000,-2804290
1719398254,0.1,698.42,nan,2004310,-2773070
1719398257,0.1,714.72,nan,1962340,-2741960
1719398260,0.1,731.4,nan,1922200,-2710940
1719398263,0.1,748.47,nan,1882270,-2679640
1719398266,0.1,765.94,nan,1843380,-2648420
1719398268,0.1,783.82,nan,1804700,-2616770
1719398271,0.1,802.11,nan,1766970,-2587540
1719398274,0.1,820.84,nan,1729900,-2554710
1719398277,0.1,839.99,nan,1693920,-2523220
1719398280,0.1,859.6,nan,1658540,-2490240
1719398282,0.1,879.66,nan,1622800,-2462070
1719398285,0.1,900.2,nan,1589220,-2431370
1719398288,0.1,921.21,nan,1555170,-2401030
1719398291,0.1,942.71,nan,1522560,-2371440
1719398294,0.1,964.71,nan,1489300,-2341480
1719398296,0.1,987.23,nan,1457930,-2310920
1719398299,0.1,1010.27,nan,1426030,-2280370
1719398302,0.1,1033.85,nan,1395680,-2251240
1719398305,0.1,1057.98,nan,1365070,-2222150
1719398308,0.1,1082.67,nan,1335600,-2192750
1719398310,0.1,1107.94,nan,1307530,-2164940
1719398313,0.1,1133.8,nan,1280060,-2135580
1719398316,0.1,1160.26,nan,1251640,-2107050
1719398319,0.1,1187.35,nan,1223840,-2079600
1719398322,0.1,1215.06,nan,1197990,-2051130
1719398324,0.1,1243.42,nan,1171970,-2023620
1719398327,0.1,1272.44,nan,1144980,-1997120
1719398330,0.1,1302.14,nan,1120040,-1968650
1719398333,0.1,1332.53,nan,1094680,-1942110
1719398336,0.1,1363.63,nan,1066590,-1915070
1719398338,0.1,1395.46,nan,1047050,-1889030
1719398341,0.1,1428.03,nan,1023240,-1862000
1719398344,0.1,1461.36,nan,1000960,-1836130
1719398347,0.1,1495.47,nan,978413,-1810310
1719398350,0.1,1530.37,nan,956017,-1785160
1719398352,0.1,1566.09,nan,934462,-1759500
1719398355,0.1,1602.65,nan,912197,-1734110
1719398358,0.1,1640.05,nan,891693,-1709870
1719398361,0.1,1678.33,nan,871542,-1685170
1719398363,0.1,1717.5,nan,851022,-1660620
1719398366,0.1,1757.59,nan,831066,-1636340
1719398369,0.1,1798.61,nan,811883,-1612110
1719398371,0.1,1840.59,nan,792899,-1589030
1719398374,0.1,1883.55,nan,774681,-1564910
1719398377,0.1,1927.52,nan,756105,-1542240
1719398380,0.1,1972.5,nan,738410,-1519010
1719398383,0.1,2018.54,nan,719952,-1495630
1719398385,0.1,2065.66,nan,703151,-1473610
1719398388,0.1,2113.87,nan,686122,-1451060
1719398391,0.1,2163.21,nan,669649,-1429300
1719398394,0.1,2213.7,nan,653832,-1407290
1719398397,0.1,2265.37,nan,637879,-1386420
1719398399,0.1,2318.24,nan,622275,-1364920
1719398402,0.1,2372.35,nan,607182,-1343420
1719398405,0.1,2427.72,nan,592213,-1322780
1719398408,0.1,2484.38,nan,577804,-1302770
1719398411,0.1,2542.37,nan,563733,-1282100
1719398413,0.1,2601.71,nan,549550,-1261590
1719398416,0.1,2662.43,nan,536199,-1242060
1719398419,0.1,2724.57,nan,522221,-1221910
1719398422,0.1,2788.17,nan,509298,-1202810
1719398425,0.1,2853.24,nan,496380,-1183530
1719398427,0.1,2919.84,nan,483872,-1164220
1719398430,0.1,2987.99,nan,471641,-1145010
1719398433,0.1,3057.73,nan,459597,-1126450
1719398436,0.1,3129.1,nan,447780,-1108380
1719398438,0.1,3202.13,nan,436045,-1090160
1719398441,0.1,3276.87,nan,425006,-1072090
1719398444,0.1,3353.35,nan,413998,-1054550
1719398447,0.1,3431.62,nan,403272,-1036750
1719398449,0.1,3511.71,nan,392911,-1019710
1719398452,0.1,3593.68,nan,382605,-1002540
1719398455,0.1,3677.55,nan,372496,-985651
1719398457,0.1,3763.39,nan,363054,-969076
1719398460,0.1,3851.23,nan,353245,-952601
1719398463,0.1,3941.12,nan,344064,-936379
1719398466,0.1,4033.1,nan,335024,-920182
1719398469,0.1,4127.24,nan,326149,-904338
1719398471,0.1,4223.57,nan,317428,-888485
1719398474,0.1,4322.15,nan,308962,-873400
1719398477,0.1,4423.02,nan,300679,-858086
1719398480,0.1,4526.26,nan,292664,-843207
1719398483,0.1,4631.9,nan,284885,-828477
1719398485,0.1,4740.01,nan,277262,-813857
1719398488,0.1,4850.65,nan,269804,-799666
1719398491,0.1,4963.86,nan,262365,-785435
1719398494,0.1,5079.72,nan,255334,-771433
1719398497,0.1,5198.28,nan,248475,-757733
1719398499,0.1,5319.61,nan,241593,-744200
1719398502,0.1,5443.77,nan,235223,-730811
1719398505,0.1,5570.83,nan,228784,-717674
1719398508,0.1,5700.85,nan,222581,-704709
1719398511,0.1,5833.91,nan,216501,-692116
1719398513,0.1,5970.08,nan,210561,-679566
1719398516,0.1,6109.42,nan,204768,-667201
1719398519,0.1,6252.01,nan,199166,-654940
1719398521,0.1,6397.94,nan,193784,-642980
1719398524,0.1,6547.27,nan,188333,-631175
1719398527,0.1,6700.08,nan,183203,-619525
1719398530,0.1,6856.46,nan,178094,-608196
1719398532,0.1,7016.49,nan,173143,-596906
1719398535,0.1,7180.26,nan,168349,-585779
1719398538,0.1,7347.85,nan,163686,-574855
1719398541,0.1,7519.35,nan,159142,-564060
1719398543,0.1,7694.85,nan,154706,-553548
1719398546,0.1,7874.45,nan,150362,-543128
1719398549,0.1,8058.24,nan,146193,-532940
1719398552,0.1,8246.33,nan,142149,-522893
1719398554,0.1,8438.8,nan,138192,-512996
1719398557,0.1,8635.76,nan,134312,-503188
1719398560,0.1,8837.32,nan,130520,-493687
1719398563,0.1,9043.58,nan,126868,-484223
1719398566,0.1,9254.66,nan,123323,-474976
1719398568,0.1,9470.67,nan,119874,-465890
1719398571,0.1,9691.72,nan,116475,-456895
1719398574,0.1,9917.92,nan,113263,-448158
1719398577,0.1,10149.41,nan,110061,-439489
1719398579,0.1,10386.3,nan,106932,-430870
1719398582,0.1,10628.72,nan,103963,-422603
1719398585,0.1,10876.79,nan,101009,-414304
1719398588,0.1,11130.66,nan,98242.3,-406370
1719398590,0.1,11390.45,nan,95516.7,-398483
1719398593,0.1,11656.31,nan,92788.7,-390586
1719398596,0.1,11928.37,nan,90225.5,-383019
1719398598,0.1,12206.78,nan,87681.1,-375444
1719398601,0.1,12491.69,nan,85264.1,-368233
1719398604,0.1,12783.25,nan,82876.7,-361025
1719398607,0.1,13081.61,nan,80544.9,-353874
1719398609,0.1,13386.94,nan,78233.3,-346783
1719398612,0.1,13699.39,nan,76051.4,-339975
1719398615,0.1,14019.14,nan,73920,-333232
1719398617,0.1,14346.35,nan,71840.5,-326572
1719398620,0.1,14681.2,nan,69834,-320146
1719398623,0.1,15023.86,nan,67899.3,-313818
1719398625,0.1,15374.52,nan,65974.9,-307574
1719398628,0.1,15733.36,nan,64122,-301396
1719398631,0.1,16100.58,nan,62320.2,-295300
1719398634,0.1,16476.37,nan,60558.8,-289322
1719398636,0.1,16860.94,nan,58911.1,-283559
1719398639,0.1,17254.47,nan,57271.6,-277911
1719398642,0.1,17657.2,nan,55648.2,-272208
1719398645,0.1,18069.32,nan,54122.7,-266735
1719398647,0.1,18491.06,nan,52621.1,-261358
1719398650,0.1,18922.65,nan,51164.9,-256070
1719398653,0.1,19364.31,nan,49761.4,-250890
1719398656,0.1,19816.27,nan,48361.7,-245701
1719398658,0.1,20278.79,nan,47037.3,-240723
1719398661,0.1,20752.1,nan,45760.3,-235850
1719398664,0.1,21236.46,nan,44483.9,-230970
1719398666,0.1,21732.12,nan,43288.7,-226296
1719398669,0.1,22239.35,nan,42100.9,-221639
1719398672,0.1,22758.43,nan,40952.4,-217091
1719398674,0.1,23289.61,nan,39846.2,-212642
1719398677,0.1,23833.2,nan,38773.5,-208302
1719398680,0.1,24389.47,nan,37728.1,-203984
1719398682,0.1,24958.72,nan,36707.1,-199770
1719398685,0.1,25541.27,nan,35725.4,-195658
1719398688,0.1,26137.4,nan,34766,-191583
1719398690,0.1,26747.46,nan,33848.6,-187625
1719398693,0.1,27371.75,nan,32956.1,-183764
1719398696,0.1,28010.61,nan,32090.1,-179941
1719398698,0.1,28664.38,nan,31246.3,-176225
1719398701,0.1,29333.42,nan,30429.4,-172563
1719398704,0.1,30018.07,nan,29632,-168940
1719398707,0.1,30718.69,nan,28872.5,-165423
1719398709,0.1,31435.67,nan,28122.9,-161956
1719398712,0.1,32169.39,nan,27406.4,-158594
1719398715,0.1,32920.23,nan,26707.4,-155276
1719398717,0.1,33688.6,nan,26025.5,-152016
1719398720,0.1,34474.89,nan,25371.3,-148854
1719398723,0.1,35279.55,nan,24732.7,-145715
1719398726,0.1,36102.98,nan,24115.5,-142666
1719398728,0.1,36945.63,nan,23514,-139643
1719398731,0.1,37807.95,nan,22937.9,-136711
1719398734,0.1,38690.39,nan,22374.3,-133841
1719398736,0.1,39593.44,nan,21830.3,-131029
1719398739,0.1,40517.55,nan,21303.4,-128246
1719398742,0.1,41463.24,nan,20796,-125554
1719398744,0.1,42431,nan,20296.6,-122891
1719398747,0.1,43421.35,nan,19817.2,-120294
1719398750,0.1,44434.82,nan,19354.2,-117755
1719398752,0.1,45471.93,nan,18900.9,-115255
1719398755,0.1,46533.26,nan,18465.7,-112816
1719398758,0.1,47619.35,nan,18044.7,-110408
1719398760,0.1,48730.8,nan,17634.9,-108066
1719398763,0.1,49868.19,nan,17237.9,-105762
1719398765,0.1,51032.12,nan,16855.2,-103519
1719398768,0.1,52223.22,nan,16484.5,-101316
1719398771,0.1,53442.12,nan,16123.3,-99156.2
1719398773,0.1,54689.47,nan,15774.1,-97040.6
1719398776,0.1,55965.94,nan,15435.3,-94965.1
1719398779,0.1,57272.19,nan,15109.5,-92950
1719398781,0.1,58608.94,nan,14792.7,-90960.7
1719398784,0.1,59976.88,nan,14486.2,-89011
1719398787,0.1,61376.76,nan,14187.2,-87103.7
1719398789,0.1,62809.3,nan,13901.6,-85243.5
1719398792,0.1,64275.29,nan,13622.9,-83414.8
1719398795,0.1,65775.49,nan,13352.7,-81630.9
1719398797,0.1,67310.7,nan,13092.8,-79886.6
1719398800,0.1,68881.75,nan,12841.4,-78175.4
1719398803,0.1,70489.46,nan,12595.1,-76497.5
1719398805,0.1,72134.7,nan,12360.9,-74862.9
1719398808,0.1,73818.34,nan,12130.1,-73250.2
1719398811,0.1,75541.27,nan,11909.7,-71679
1719398813,0.1,77304.42,nan,11695.1,-70143.2
1719398816,0.1,79108.72,nan,11487.5,-68631.2
1719398819,0.1,80955.14,nan,11285.9,-67153.2
1719398821,0.1,82844.65,nan,11092.1,-65715.8
1719398824,0.1,84778.26,nan,10899.4,-64297.6
1719398827,0.1,86757,nan,10718,-62914.1
1719398829,0.1,88781.93,nan,10542.8,-61564.4
1719398832,0.1,90854.12,nan,10370.8,-60242
1719398834,0.1,92974.67,nan,10206,-58947.3
1719398837,0.1,95144.72,nan,10045.6,-57680.3
1719398840,0.1,97365.42,nan,9889.49,-56435
1719398842,0.1,99637.95,nan,9738.6,-55223.2
1719398845,0.1,101963.52,nan,9587.96,-54021.5
1719398848,0.1,104343.37,nan,9450.84,-52898.2
1719398850,0.1,106778.77,nan,9309.49,-51729
1719398853,0.1,109271.01,nan,9178.1,-50614.6
1719398855,0.1,111821.42,nan,9054.29,-49550.1
1719398858,0.1,114431.35,nan,8930.13,-48487.8
1719398861,0.1,117102.2,nan,8808.22,-47435.2
1719398863,0.1,119835.39,nan,8692.25,-46428.7
1719398866,0.1,122632.38,nan,8579.45,-45428.5
1719398868,0.1,125494.64,nan,8466.8,-44441
1719398871,0.1,128423.71,nan,8361.29,-43495.5
1719398874,0.1,131421.15,nan,8258.02,-42561.5
1719398877,0.1,134488.55,nan,8159.89,-41640.7
1719398879,0.1,137627.54,nan,8063.33,-40758.5
1719398882,0.1,140839.8,nan,7970.04,-39889.9
1719398885,0.1,144127.03,nan,7879.22,-39031.6
1719398887,0.1,147490.98,nan,7790.36,-38189.5
1719398890,0.1,150933.45,nan,7706.55,-37383.2
1719398893,0.1,154456.27,nan,7622.44,-36567.8
1719398895,0.1,158061.31,nan,7542.94,-35788.6
1719398898,0.1,161750.5,nan,7464.94,-35023.7
1719398901,0.1,165525.79,nan,7389.83,-34293.3
1719398903,0.1,169389.2,nan,7315.96,-33557.7
1719398906,0.1,173342.78,nan,7245,-32855
1719398908,0.1,177388.63,nan,7175.61,-32148.8
1719398911,0.1,181528.92,nan,7108.54,-31474.6
1719398914,0.1,185765.85,nan,7042.39,-30798.3
1719398916,0.1,190101.66,nan,6979.29,-30153.1
1719398919,0.1,194538.67,nan,6917.38,-29522.5
1719398922,0.1,199079.25,nan,6856.79,-28893.2
1719398924,0.1,203725.8,nan,6797.5,-28291.6
1719398927,0.1,208480.8,nan,6741.14,-27692.7
1719398929,0.1,213346.79,nan,6685.14,-27121
1719398932,0.1,218326.35,nan,6630.22,-26551.1
1719398935,0.1,223422.13,nan,6577.47,-25996.7
1719398937,0.1,228636.85,nan,6525.94,-25457.9
1719398940,0.1,233973.28,nan,6474.86,-24923.5
1719398942,0.1,239434.27,nan,6425.54,-24412.8
1719398945,0.1,245022.72,nan,6377.28,-23907.6
1719398948,0.1,250741.6,nan,6330.62,-23415
1719398950,0.1,256593.96,nan,6283.68,-22930
1719398953,0.1,262582.92,nan,6238.37,-22459.6
1719398956,0.1,268711.66,nan,6193.76,-22002.4
