#Procedure: <nfoinstruments.Measurements.LCRprocedures.ISProcedureConstTemp>,,,,,
#Parameters:,,,,,
#Data:,,,,,
Time,Bias,Frequency,Temperature,R,X
1719408811,0.01,241.65,nan,4849090,-3988280
1719408814,0.01,247.29,nan,4782390,-3973010
1719408817,0.01,253.07,nan,4710170,-3968740
1719408820,0.01,258.97,nan,4643830,-3954570
1719408823,0.01,265.02,nan,4571450,-3939650
1719408826,0.01,271.2,nan,4502910,-3925570
1719408829,0.01,277.53,nan,4441420,-3890360
1719408832,0.01,284.01,nan,4363000,-3893230
1719408835,0.01,290.64,nan,4296200,-3869820
1719408838,0.01,297.42,nan,4228000,-3858300
1719408841,0.01,304.37,nan,4167690,-3839300
1719408844,0.01,311.47,nan,4099380,-3819190
1719408847,0.01,318.74,nan,4027530,-3803590
1719408850,0.01,326.18,nan,3963800,-3784030
1719408853,0.01,333.79,nan,3900710,-3762120
1719408856,0.01,341.58,nan,3829360,-3740320
1719408859,0.01,349.55,nan,3761920,-3721720
1719408862,0.01,357.71,nan,3699370,-3694470
1719408865,0.01,366.06,nan,3637310,-3674290
1719408868,0.01,374.61,nan,3577180,-3648370
1719408871,0.01,383.35,nan,3512700,-3627080
1719408874,0.01,392.3,nan,3449740,-3599360
1719408877,0.01,401.45,nan,3386990,-3577240
1719408880,0.01,410.82,nan,3326310,-3550950
1719408883,0.01,420.41,nan,3266930,-3527080
1719408886,0.01,430.22,nan,3208310,-3497450
1719408889,0.01,440.27,nan,3146010,-3466710
1719408892,0.01,450.54,nan,3088480,-3444950
1719408895,0.01,461.06,nan,3026790,-3414540
1719408897,0.01,471.82,nan,2972970,-3385730
1719408900,0.01,482.83,nan,2917770,-3357340
1719408903,0.01,494.1,nan,2862020,-3328650
1719408906,0.01,505.63,nan,2807310,-3300810
1719408909,0.01,517.43,nan,2752730,-3270400
1719408912,0.01,529.51,nan,2698840,-3250670
1719408915,0.01,541.87,nan,2647250,-3210530
1719408918,0.01,554.52,nan,2595420,-3180850
1719408921,0.01,567.46,nan,2543420,-3148040
1719408923,0.01,580.71,nan,2494690,-3118450
1719408926,0.01,594.26,nan,2444390,-3088110
1719408929,0.01,608.13,nan,2394280,-3055960
1719408932,0.01,622.32,nan,2345870,-3026690
1719408935,0.01,636.85,nan,2300670,-2991980
1719408938,0.01,651.71,nan,2255050,-2959990
1719408941,0.01,666.92,nan,2210740,-2930290
1719408943,0.01,682.49,nan,2165490,-2899370
1719408946,0.01,698.42,nan,2121060,-2867230
1719408949,0.01,714.72,nan,2077780,-2834730
1719408952,0.01,731.4,nan,2034600,-2803500
1719408954,0.01,748.47,nan,1994300,-2772280
1719408957,0.01,765.94,nan,1951350,-2740410
1719408960,0.01,783.82,nan,1910810,-2709070
1719408963,0.01,802.11,nan,1871880,-2676940
1719408966,0.01,820.84,nan,1833490,-2645950
1719408968,0.01,839.99,nan,1794780,-2613960
1719408971,0.01,859.6,nan,1757250,-2581950
1719408974,0.01,879.66,nan,1719120,-2551250
1719408977,0.01,900.2,nan,1684360,-2519740
1719408980,0.01,921.21,nan,1648330,-2490980
1719408982,0.01,942.71,nan,1615190,-2459030
1719408985,0.01,964.71,nan,1579850,-2428520
1719408988,0.01,987.23,nan,1547020,-2397540
1719408991,0.01,1010.27,nan,1514520,-2368630
1719408994,0.01,1033.85,nan,1480340,-2337920
1719408996,0.01,1057.98,nan,1449380,-2308760
1719408999,0.01,1082.67,nan,1418980,-2278290
1719409002,0.01,1107.94,nan,1388240,-2249490
1719409005,0.01,1133.8,nan,1357580,-2219480
1719409008,0.01,1160.26,nan,1329580,-2190430
1719409010,0.01,1187.35,nan,1300210,-2162290
1719409013,0.01,1215.06,nan,1271810,-2133210
1719409016,0.01,1243.42,nan,1244460,-2105360
1719409019,0.01,1272.44,nan,1216900,-2076630
1719409022,0.01,1302.14,nan,1190150,-2048770
1719409024,0.01,1332.53,nan,1163970,-2020600
1719409027,0.01,1363.63,nan,1135230,-1988390
1719409030,0.01,1395.46,nan,1113550,-1966310
1719409033,0.01,1428.03,nan,1088840,-1939820
1719409036,0.01,1461.36,nan,1064490,-1913090
1719409038,0.01,1495.47,nan,1040830,-1886790
1719409041,0.01,1530.37,nan,1017540,-1859670
1719409044,0.01,1566.09,nan,993753,-1833800
1719409047,0.01,1602.65,nan,971339,-1808230
1719409049,0.01,1640.05,nan,949377,-1782460
1719409052,0.01,1678.33,nan,927742,-1757450
1719409055,0.01,1717.5,nan,906011,-1731230
1719409058,0.01,1757.59,nan,885455,-1706690
1719409060,0.01,1798.61,nan,865068,-1682380
1719409063,0.01,1840.59,nan,844969,-1657550
1719409066,0.01,1883.55,nan,825499,-1634010
1719409068,0.01,1927.52,nan,805746,-1610160
1719409071,0.01,1972.5,nan,787073,-1586310
1719409074,0.01,2018.54,nan,767742,-1562150
1719409077,0.01,2065.66,nan,749897,-1539260
1719409080,0.01,2113.87,nan,731840,-1516140
1719409082,0.01,2163.21,nan,714332,-1493640
1719409085,0.01,2213.7,nan,697299,-1470920
1719409088,0.01,2265.37,nan,681031,-1448960
1719409091,0.01,2318.24,nan,663972,-1427070
1719409094,0.01,2372.35,nan,648049,-1404940
1719409096,0.01,2427.72,nan,632059,-1383200
