#Procedure: <nfoinstruments.Measurements.LCRprocedures.ISProcedureConstTemp>
#Parameters:
#Data:
Time,Bias,Frequency,Temperature,R,X
1719401515.8190835,0.3,6397.94,nan,165649.0,-578747.0
1719401518.5161533,0.3,6547.27,nan,161072.0,-567869.0
1719401521.3068132,0.3,6700.08,nan,156671.0,-557310.0
1719401524.007217,0.3,6856.46,nan,152339.0,-546894.0
1719401526.6998131,0.3,7016.49,nan,148068.0,-536581.0
1719401529.4760644,0.3,7180.26,nan,143995.0,-526469.0
1719401532.2023778,0.3,7347.85,nan,140005.0,-516490.0
1719401534.8881624,0.3,7519.35,nan,136057.0,-506717.0
1719401537.6222987,0.3,7694.85,nan,132332.0,-497082.0
1719401540.3298175,0.3,7874.45,nan,128621.0,-487633.0
1719401543.0830462,0.3,8058.24,nan,125044.0,-478317.0
1719401545.894748,0.3,8246.33,nan,121568.0,-469133.0
1719401548.6524785,0.3,8438.8,nan,118217.0,-460122.0
1719401551.4818244,0.3,8635.76,nan,114849.0,-451272.0
1719401554.253788,0.3,8837.32,nan,111663.0,-442579.0
1719401557.1122491,0.3,9043.58,nan,108535.0,-434020.0
1719401559.9023511,0.3,9254.66,nan,105519.0,-425631.0
1719401562.6270494,0.3,9470.67,nan,102561.0,-417353.0
1719401565.4104419,0.3,9691.72,nan,99682.0,-409216.0
1719401568.1365047,0.3,9917.92,nan,96914.1,-401274.0
1719401570.9190917,0.3,10149.41,nan,94183.9,-393432.0
1719401573.6393569,0.3,10386.3,nan,91535.1,-385623.0
1719401576.4174018,0.3,10628.72,nan,89007.1,-378110.0
1719401579.1261258,0.3,10876.79,nan,86510.5,-370648.0
1719401581.896863,0.3,11130.66,nan,84149.8,-363463.0
1719401584.593407,0.3,11390.45,nan,81844.5,-356265.0
1719401587.354546,0.3,11656.31,nan,79517.8,-349151.0
1719401590.0300689,0.3,11928.37,nan,77325.8,-342301.0
1719401592.7706633,0.3,12206.78,nan,75155.8,-335473.0
1719401595.4330223,0.3,12491.69,nan,73117.1,-328935.0
1719401598.1326907,0.3,12783.25,nan,71106.3,-322442.0
1719401600.872185,0.3,13081.61,nan,69124.9,-315983.0
1719401603.5664277,0.3,13386.94,nan,67166.1,-309591.0
1719401606.272038,0.3,13699.39,nan,65318.8,-303449.0
1719401609.0211036,0.3,14019.14,nan,63502.3,-297380.0
1719401611.686857,0.3,14346.35,nan,61729.1,-291357.0
1719401614.3676126,0.3,14681.2,nan,60047.4,-285579.0
1719401617.0890477,0.3,15023.86,nan,58405.9,-279876.0
1719401619.740357,0.3,15374.52,nan,56806.4,-274257.0
1719401622.4265218,0.3,15733.36,nan,55241.4,-268690.0
1719401625.2226403,0.3,16100.58,nan,53711.4,-263220.0
1719401627.9181988,0.3,16476.37,nan,52232.2,-257825.0
1719401630.6542394,0.3,16860.94,nan,50819.9,-252647.0
1719401633.378458,0.3,17254.47,nan,49444.3,-247559.0
1719401636.1336653,0.3,17657.2,nan,48080.0,-242420.0
1719401638.8917046,0.3,18069.32,nan,46780.0,-237518.0
1719401641.5797613,0.3,18491.06,nan,45512.8,-232689.0
1719401644.2931054,0.3,18922.65,nan,44309.4,-227948.0
1719401647.0117779,0.3,19364.31,nan,43115.6,-223290.0
1719401649.720384,0.3,19816.27,nan,41933.4,-218641.0
1719401652.4469578,0.3,20278.79,nan,40821.9,-214173.0
1719401655.163427,0.3,20752.1,nan,39740.6,-209795.0
1719401657.8774416,0.3,21236.46,nan,38676.1,-205432.0
1719401660.585122,0.3,21732.12,nan,37664.5,-201248.0
1719401663.2732334,0.3,22239.35,nan,36665.8,-197075.0
1719401665.9661071,0.3,22758.43,nan,35704.0,-192991.0
1719401668.6222248,0.3,23289.61,nan,34771.8,-189004.0
1719401671.288818,0.3,23833.2,nan,33876.2,-185112.0
1719401673.9843168,0.3,24389.47,nan,32991.6,-181250.0
1719401676.6762688,0.3,24958.72,nan,32140.0,-177481.0
