#Procedure: <nfoinstruments.Measurements.LCRprocedures.ISProcedureConstTemp>,,,,,
#Parameters:,,,,,
#Data:,,,,,
Time,Bias,Frequency,Temperature,R,X
1719396027,0,450.54,nan,3083950,-3391380
1719396030,0,461.06,nan,3023600,-3366800
1719396032,0,471.82,nan,2954870,-3353970
1719396035,0,482.83,nan,2901640,-3326330
1719396038,0,494.1,nan,2846050,-3296530
1719396041,0,505.63,nan,2791900,-3268900
1719396044,0,517.43,nan,2739140,-3239630
1719396047,0,529.51,nan,2688390,-3218980
1719396050,0,541.87,nan,2632440,-3179710
1719396052,0,554.52,nan,2582610,-3152540
1719396055,0,567.46,nan,2530490,-3120130
1719396058,0,580.71,nan,2480520,-3090420
1719396061,0,594.26,nan,2433200,-3060200
1719396064,0,608.13,nan,2384280,-3029320
1719396066,0,622.32,nan,2337360,-2998550
1719396069,0,636.85,nan,2289120,-2966040
1719396072,0,651.71,nan,2245490,-2932970
1719396075,0,666.92,nan,2199140,-2904160
1719396078,0,682.49,nan,2153680,-2875450
1719396080,0,698.42,nan,2110320,-2841540
1719396083,0,714.72,nan,2068540,-2812280
1719396086,0,731.4,nan,2025280,-2778870
1719396089,0,748.47,nan,1982330,-2749010
1719396091,0,765.94,nan,1943750,-2717340
1719396094,0,783.82,nan,1901670,-2684360
1719396097,0,802.11,nan,1863050,-2655930
1719396100,0,820.84,nan,1824090,-2622980
1719396102,0,839.99,nan,1786070,-2592630
1719396105,0,859.6,nan,1749230,-2562090
1719396108,0,879.66,nan,1713410,-2530080
1719396111,0,900.2,nan,1677900,-2500300
1719396113,0,921.21,nan,1642420,-2469720
1719396116,0,942.71,nan,1607320,-2440210
1719396119,0,964.71,nan,1572500,-2409330
1719396122,0,987.23,nan,1540100,-2378320
1719396124,0,1010.27,nan,1506570,-2348240
1719396127,0,1033.85,nan,1473620,-2319140
1719396130,0,1057.98,nan,1443290,-2289710
1719396133,0,1082.67,nan,1411770,-2259340
1719396135,0,1107.94,nan,1382340,-2230950
1719396138,0,1133.8,nan,1352480,-2202050
1719396141,0,1160.26,nan,1322870,-2173790
1719396144,0,1187.35,nan,1294690,-2145620
1719396147,0,1215.06,nan,1267570,-2116090
1719396149,0,1243.42,nan,1239600,-2089370
1719396152,0,1272.44,nan,1213130,-2061360
1719396155,0,1302.14,nan,1185050,-2032020
