BI,BI log,BV,AI,AV,VDEVICE,RESISTANCE,,AV,BIAbs
-2.61E-07,-6.58E+00,-1.79E-05,2.61E-07,4.80E-01,4.80E-01,1.84E+06,,1.539999962,0.000780223
-3.27E-07,-6.49E+00,-1.88E-05,3.27E-07,4.90E-01,4.90E-01,1.50E+06,,1.544999957,0.000789693
-4.10E-07,-6.39E+00,-2.10E-05,4.10E-07,5.00E-01,5.00E-01,1.22E+06,,1.549999952,0.000799348
-5.17E-07,-6.29E+00,-1.32E-05,5.17E-07,5.10E-01,5.10E-01,9.86E+05,,1.554999948,0.000809059
-6.49E-07,-6.19E+00,-1.33E-05,6.49E-07,5.20E-01,5.20E-01,8.01E+05,,1.559999943,0.000818974
-8.12E-07,-6.09E+00,-1.43E-05,8.13E-07,5.30E-01,5.30E-01,6.52E+05,,1.565000057,0.000828957
-1.01E-06,-6.00E+00,-1.42E-05,1.01E-06,5.40E-01,5.40E-01,5.32E+05,,1.570000052,0.000839106
-1.26E-06,-5.90E+00,-1.53E-05,1.26E-06,5.50E-01,5.49E-01,4.35E+05,,1.575000048,0.000849361
-1.56E-06,-5.81E+00,-1.53E-05,1.56E-06,5.60E-01,5.59E-01,3.58E+05,,1.580000043,0.000859815
-1.93E-06,-5.71E+00,-1.68E-05,1.93E-06,5.70E-01,5.69E-01,2.95E+05,,1.585000038,0.000870349
-2.36E-06,-5.63E+00,-1.70E-05,2.36E-06,5.80E-01,5.79E-01,2.45E+05,,1.590000033,0.000881112
-2.88E-06,-5.54E+00,-1.83E-05,2.88E-06,5.90E-01,5.89E-01,2.04E+05,,1.595000029,0.000891938
-3.49E-06,-5.46E+00,-1.95E-05,3.49E-06,6.00E-01,5.98E-01,1.72E+05,,1.600000024,0.000902996
-4.20E-06,-5.38E+00,-2.06E-05,4.20E-06,6.10E-01,6.08E-01,1.45E+05,,1.605000019,0.000914146
-5.02E-06,-5.30E+00,-1.35E-05,5.02E-06,6.20E-01,6.18E-01,1.23E+05,,1.610000014,0.000925465
-5.96E-06,-5.22E+00,-1.28E-05,5.97E-06,6.30E-01,6.27E-01,1.05E+05,,1.61500001,0.000937033
-7.04E-06,-5.15E+00,-1.37E-05,7.04E-06,6.40E-01,6.37E-01,9.05E+04,,1.620000005,0.00094869
-8.25E-06,-5.08E+00,-1.38E-05,8.26E-06,6.50E-01,6.46E-01,7.83E+04,,1.625,0.000960612
-9.62E-06,-5.02E+00,-1.50E-05,9.62E-06,6.60E-01,6.56E-01,6.82E+04,,1.629999995,0.000972636
-1.11E-05,-4.95E+00,-1.47E-05,1.11E-05,6.70E-01,6.65E-01,5.97E+04,,1.63499999,0.000984944
-1.28E-05,-4.89E+00,-1.48E-05,1.28E-05,6.80E-01,6.74E-01,5.25E+04,,1.639999986,0.000997371
-1.47E-05,-4.83E+00,-1.64E-05,1.47E-05,6.90E-01,6.83E-01,4.65E+04,,1.644999981,0.001010088
-1.67E-05,-4.78E+00,-1.64E-05,1.68E-05,7.00E-01,6.92E-01,4.13E+04,,1.649999976,0.001022925
-1.90E-05,-4.72E+00,-1.67E-05,1.90E-05,7.10E-01,7.01E-01,3.69E+04,,1.654999971,0.001036081
-2.14E-05,-4.67E+00,-1.82E-05,2.14E-05,7.20E-01,7.10E-01,3.31E+04,,1.659999967,0.001049376
-2.41E-05,-4.62E+00,-1.83E-05,2.41E-05,7.30E-01,7.19E-01,2.99E+04,,1.664999962,0.001062986
-2.69E-05,-4.57E+00,-1.81E-05,2.69E-05,7.40E-01,7.27E-01,2.70E+04,,1.669999957,0.001076758
-3.00E-05,-4.52E+00,-1.98E-05,3.00E-05,7.50E-01,7.36E-01,2.46E+04,,1.674999952,0.001090872
-3.32E-05,-4.48E+00,-1.92E-05,3.32E-05,7.60E-01,7.44E-01,2.24E+04,,1.679999948,0.001105139
-3.67E-05,-4.44E+00,-1.99E-05,3.67E-05,7.70E-01,7.53E-01,2.05E+04,,1.684999943,0.001119776
-4.04E-05,-4.39E+00,-2.09E-05,4.04E-05,7.80E-01,7.61E-01,1.88E+04,,1.690000057,0.001134597
-4.43E-05,-4.35E+00,-2.12E-05,4.43E-05,7.90E-01,7.69E-01,1.74E+04,,1.695000052,0.001149812
-4.84E-05,-4.32E+00,-2.19E-05,4.84E-05,8.00E-01,7.77E-01,1.60E+04,,1.700000048,0.001165237
-5.27E-05,-4.28E+00,-1.58E-05,5.28E-05,8.10E-01,7.85E-01,1.49E+04,,1.705000043,0.001181043
-5.72E-05,-4.24E+00,-1.52E-05,5.73E-05,8.20E-01,7.93E-01,1.39E+04,,1.710000038,0.001197102
-6.19E-05,-4.21E+00,-1.64E-05,6.20E-05,8.30E-01,8.01E-01,1.29E+04,,1.715000033,0.001213599
-6.68E-05,-4.18E+00,-1.58E-05,6.69E-05,8.40E-01,8.08E-01,1.21E+04,,1.720000029,0.001230345
-7.19E-05,-4.14E+00,-1.60E-05,7.19E-05,8.50E-01,8.16E-01,1.13E+04,,1.725000024,0.001247572
-7.71E-05,-4.11E+00,-1.64E-05,7.72E-05,8.60E-01,8.23E-01,1.07E+04,,1.730000019,0.00126508
-8.25E-05,-4.08E+00,-1.59E-05,8.26E-05,8.70E-01,8.31E-01,1.01E+04,,1.735000014,0.001283115
-8.81E-05,-4.06E+00,-1.64E-05,8.81E-05,8.80E-01,8.38E-01,9.51E+03,,1.74000001,0.001301437
-9.38E-05,-4.03E+00,-1.69E-05,9.39E-05,8.90E-01,8.45E-01,9.01E+03,,1.745000005,0.001320352
-9.97E-05,-4.00E+00,-1.72E-05,9.97E-05,9.00E-01,8.53E-01,8.55E+03,,1.75,0.001339595
-1.06E-04,-3.97E+00,-1.61E-05,1.06E-04,9.10E-01,8.60E-01,8.13E+03,,1.754999995,0.001359474
-1.12E-04,-3.95E+00,-1.72E-05,1.12E-04,9.20E-01,8.67E-01,7.75E+03,,1.75999999,0.001379753
-1.18E-04,-3.93E+00,-1.70E-05,1.18E-04,9.30E-01,8.74E-01,7.39E+03,,1.764999986,0.00140072
-1.25E-04,-3.90E+00,-1.66E-05,1.25E-04,9.40E-01,8.81E-01,7.06E+03,,1.769999981,0.00142211
-1.31E-04,-3.88E+00,-1.73E-05,1.31E-04,9.50E-01,8.88E-01,6.76E+03,,1.774999976,0.001444281
-1.38E-04,-3.86E+00,-1.83E-05,1.38E-04,9.60E-01,8.94E-01,6.48E+03,,1.779999971,0.001466955
-1.45E-04,-3.84E+00,-1.78E-05,1.45E-04,9.70E-01,9.01E-01,6.22E+03,,1.784999967,0.001490473
-1.52E-04,-3.82E+00,-1.76E-05,1.52E-04,9.80E-01,9.08E-01,5.98E+03,,1.789999962,0.001514595
-1.59E-04,-3.80E+00,-1.83E-05,1.59E-04,9.90E-01,9.14E-01,5.75E+03,,1.794999957,0.001539669
-1.66E-04,-3.78E+00,-1.84E-05,1.66E-04,1.00E+00,9.21E-01,5.54E+03,,1.799999952,0.001565406
-1.59E-04,-3.80E+00,-1.80E-05,1.59E-04,9.90E-01,9.14E-01,5.75E+03,,1.804999948,0.001592253
-1.52E-04,-3.82E+00,-1.73E-05,1.52E-04,9.80E-01,9.08E-01,5.97E+03,,1.809999943,0.001619923
-1.45E-04,-3.84E+00,-1.77E-05,1.45E-04,9.70E-01,9.01E-01,6.22E+03,,1.815000057,0.001648659
-1.38E-04,-3.86E+00,-1.72E-05,1.38E-04,9.60E-01,8.94E-01,6.48E+03,,1.820000052,0.001678779
-1.31E-04,-3.88E+00,-1.68E-05,1.31E-04,9.50E-01,8.88E-01,6.76E+03,,1.825000048,0.001709939
-1.25E-04,-3.90E+00,-1.67E-05,1.25E-04,9.40E-01,8.81E-01,7.06E+03,,1.830000043,0.001742751
-1.18E-04,-3.93E+00,-1.66E-05,1.18E-04,9.30E-01,8.74E-01,7.39E+03,,1.835000038,0.001776843
