BI,BI log,BV,AI,AV,VDEVICE,RESISTANCE,,AV,BIAbs
6.55E-09,-8.18E+00,-1.05E-05,-6.66E-09,-1.10E-01,-1.10E-01,-1.68E+07,,1.850000024,0.029473728
7.02E-09,-8.15E+00,-9.65E-06,-7.12E-09,-1.20E-01,-1.20E-01,-1.71E+07,,1.845000029,0.029262222
7.48E-09,-8.13E+00,-9.14E-06,-7.58E-09,-1.30E-01,-1.30E-01,-1.74E+07,,1.840000033,0.029049924
7.93E-09,-8.10E+00,-9.31E-06,-8.04E-09,-1.40E-01,-1.40E-01,-1.77E+07,,1.835000038,0.028832801
8.38E-09,-8.08E+00,-9.56E-06,-8.49E-09,-1.50E-01,-1.50E-01,-1.79E+07,,1.830000043,0.028614178
8.82E-09,-8.05E+00,-9.65E-06,-8.93E-09,-1.60E-01,-1.60E-01,-1.81E+07,,1.825000048,0.028391279
9.27E-09,-8.03E+00,-9.65E-06,-9.38E-09,-1.70E-01,-1.70E-01,-1.83E+07,,1.820000052,0.02816635
9.71E-09,-8.01E+00,-9.56E-06,-9.82E-09,-1.80E-01,-1.80E-01,-1.85E+07,,1.815000057,0.027936626
1.01E-08,-8.00E+00,-1.01E-05,-1.03E-08,-1.90E-01,-1.90E-01,-1.87E+07,,1.809999943,0.027704837
1.06E-08,-7.97E+00,-1.02E-05,-1.07E-08,-2.00E-01,-2.00E-01,-1.89E+07,,1.804999948,0.027469058
1.10E-08,-7.96E+00,-9.39E-06,-1.11E-08,-2.10E-01,-2.10E-01,-1.91E+07,,1.799999952,0.027228426
1.14E-08,-7.94E+00,-8.73E-06,-1.16E-08,-2.20E-01,-2.20E-01,-1.92E+07,,1.794999957,0.026985303
1.19E-08,-7.92E+00,-8.56E-06,-1.20E-08,-2.30E-01,-2.30E-01,-1.94E+07,,1.789999962,0.026735989
1.23E-08,-7.91E+00,-9.06E-06,-1.24E-08,-2.40E-01,-2.40E-01,-1.95E+07,,1.784999967,0.026483994
1.27E-08,-7.90E+00,-8.98E-06,-1.28E-08,-2.50E-01,-2.50E-01,-1.96E+07,,1.779999971,0.026225239
1.32E-08,-7.88E+00,-8.39E-06,-1.33E-08,-2.60E-01,-2.60E-01,-1.98E+07,,1.774999976,0.025962925
1.36E-08,-7.87E+00,-8.14E-06,-1.37E-08,-2.70E-01,-2.70E-01,-1.99E+07,,1.769999981,0.025693195
1.40E-08,-7.85E+00,-8.31E-06,-1.41E-08,-2.80E-01,-2.80E-01,-2.00E+07,,1.764999986,0.025419192
1.44E-08,-7.84E+00,-9.06E-06,-1.45E-08,-2.90E-01,-2.90E-01,-2.01E+07,,1.75999999,0.025137614
1.49E-08,-7.83E+00,-8.47E-06,-1.50E-08,-3.00E-01,-3.00E-01,-2.02E+07,,1.754999995,0.024850681
1.53E-08,-7.82E+00,-8.47E-06,-1.54E-08,-3.10E-01,-3.10E-01,-2.03E+07,,1.75,0.024554521
1.57E-08,-7.80E+00,-8.14E-06,-1.58E-08,-3.20E-01,-3.20E-01,-2.04E+07,,1.745000005,0.024252431
1.61E-08,-7.79E+00,-7.64E-06,-1.62E-08,-3.30E-01,-3.30E-01,-2.05E+07,,1.74000001,0.023939461
1.65E-08,-7.78E+00,-7.72E-06,-1.66E-08,-3.40E-01,-3.40E-01,-2.06E+07,,1.735000014,0.023619022
1.70E-08,-7.77E+00,-7.64E-06,-1.71E-08,-3.50E-01,-3.50E-01,-2.06E+07,,1.730000019,0.023286274
1.74E-08,-7.76E+00,-7.39E-06,-1.75E-08,-3.60E-01,-3.60E-01,-2.07E+07,,1.725000024,0.022943579
1.78E-08,-7.75E+00,-8.22E-06,-1.79E-08,-3.70E-01,-3.70E-01,-2.08E+07,,1.720000029,0.022584876
1.82E-08,-7.74E+00,-6.97E-06,-1.83E-08,-3.80E-01,-3.80E-01,-2.08E+07,,1.715000033,0.022213798
1.87E-08,-7.73E+00,-6.72E-06,-1.88E-08,-3.90E-01,-3.90E-01,-2.09E+07,,1.710000038,0.021822371
1.91E-08,-7.72E+00,-6.72E-06,-1.92E-08,-4.00E-01,-4.00E-01,-2.10E+07,,1.705000043,0.021412721
1.95E-08,-7.71E+00,-8.22E-06,-1.96E-08,-4.10E-01,-4.10E-01,-2.10E+07,,1.700000048,0.020976134
1.99E-08,-7.70E+00,-6.97E-06,-2.00E-08,-4.20E-01,-4.20E-01,-2.11E+07,,1.695000052,0.020511201
2.03E-08,-7.69E+00,-6.80E-06,-2.05E-08,-4.30E-01,-4.30E-01,-2.11E+07,,1.690000057,0.020004552
2.08E-08,-7.68E+00,-6.63E-06,-2.09E-08,-4.40E-01,-4.40E-01,-2.12E+07,,1.684999943,0.01944891
2.12E-08,-7.67E+00,-6.38E-06,-2.13E-08,-4.50E-01,-4.50E-01,-2.12E+07,,1.679999948,0.018812962
2.16E-08,-7.67E+00,-6.38E-06,-2.18E-08,-4.60E-01,-4.60E-01,-2.13E+07,,1.674999952,0.01805472
2.21E-08,-7.66E+00,-6.22E-06,-2.22E-08,-4.70E-01,-4.70E-01,-2.13E+07,,1.669999957,0.017000746
2.25E-08,-7.65E+00,-6.55E-06,-2.26E-08,-4.80E-01,-4.80E-01,-2.13E+07,,1.664999962,0.001087212
2.29E-08,-7.64E+00,-6.30E-06,-2.31E-08,-4.90E-01,-4.90E-01,-2.14E+07,,1.659999967,0.001071643
2.34E-08,-7.63E+00,-6.22E-06,-2.35E-08,-5.00E-01,-5.00E-01,-2.14E+07,,1.654999971,0.001056679
2.38E-08,-7.62E+00,-4.96E-06,-2.39E-08,-5.10E-01,-5.10E-01,-2.14E+07,,1.649999976,0.00104219
2.43E-08,-7.61E+00,-4.96E-06,-2.44E-08,-5.20E-01,-5.20E-01,-2.14E+07,,1.644999981,0.001028235
2.47E-08,-7.61E+00,-5.46E-06,-2.48E-08,-5.30E-01,-5.30E-01,-2.15E+07,,1.639999986,0.001014572
2.51E-08,-7.60E+00,-6.72E-06,-2.52E-08,-5.40E-01,-5.40E-01,-2.15E+07,,1.63499999,0.001001286
2.56E-08,-7.59E+00,-6.05E-06,-2.57E-08,-5.50E-01,-5.50E-01,-2.15E+07,,1.629999995,0.000988406
2.60E-08,-7.59E+00,-6.22E-06,-2.61E-08,-5.60E-01,-5.60E-01,-2.16E+07,,1.625,0.000975647
2.65E-08,-7.58E+00,-6.38E-06,-2.66E-08,-5.70E-01,-5.70E-01,-2.15E+07,,1.620000005,0.00096302
2.69E-08,-7.57E+00,-5.80E-06,-2.70E-08,-5.80E-01,-5.80E-01,-2.16E+07,,1.61500001,0.000950813
2.74E-08,-7.56E+00,-6.30E-06,-2.75E-08,-5.90E-01,-5.90E-01,-2.16E+07,,1.610000014,0.000938839
2.78E-08,-7.56E+00,-5.46E-06,-2.79E-08,-6.00E-01,-6.00E-01,-2.16E+07,,1.605000019,0.000927098
2.83E-08,-7.55E+00,-5.55E-06,-2.84E-08,-6.10E-01,-6.10E-01,-2.16E+07,,1.600000024,0.000915637
2.88E-08,-7.54E+00,-6.13E-06,-2.89E-08,-6.20E-01,-6.20E-01,-2.15E+07,,1.595000029,0.000904074
2.93E-08,-7.53E+00,-5.80E-06,-2.94E-08,-6.30E-01,-6.30E-01,-2.15E+07,,1.590000033,0.000892782
2.97E-08,-7.53E+00,-4.21E-06,-2.98E-08,-6.40E-01,-6.40E-01,-2.15E+07,,1.585000038,0.000881614
3.02E-08,-7.52E+00,-4.96E-06,-3.03E-08,-6.50E-01,-6.50E-01,-2.15E+07,,1.580000043,0.000870696
3.07E-08,-7.51E+00,-5.04E-06,-3.08E-08,-6.60E-01,-6.60E-01,-2.15E+07,,1.575000048,0.000859925
3.12E-08,-7.51E+00,-5.80E-06,-3.13E-08,-6.70E-01,-6.70E-01,-2.15E+07,,1.570000052,0.000849417
3.17E-08,-7.50E+00,-4.88E-06,-3.18E-08,-6.80E-01,-6.80E-01,-2.15E+07,,1.565000057,0.000838935
3.22E-08,-7.49E+00,-5.30E-06,-3.23E-08,-6.90E-01,-6.90E-01,-2.15E+07,,1.559999943,0.000828719
3.27E-08,-7.49E+00,-5.13E-06,-3.28E-08,-7.00E-01,-7.00E-01,-2.14E+07,,1.554999948,0.000818627
3.32E-08,-7.48E+00,-5.13E-06,-3.33E-08,-7.10E-01,-7.10E-01,-2.14E+07,,1.549999952,0.000808611
3.36E-08,-7.47E+00,-4.37E-06,-3.37E-08,-7.20E-01,-7.20E-01,-2.14E+07,,1.544999957,0.000798754
3.41E-08,-7.47E+00,-4.37E-06,-3.42E-08,-7.30E-01,-7.30E-01,-2.14E+07,,1.539999962,0.00078907
3.46E-08,-7.46E+00,-4.79E-06,-3.47E-08,-7.40E-01,-7.40E-01,-2.14E+07,,1.534999967,0.000779392
3.52E-08,-7.45E+00,-4.46E-06,-3.53E-08,-7.50E-01,-7.50E-01,-2.13E+07,,1.529999971,0.000769909
3.56E-08,-7.45E+00,-6.13E-06,-3.57E-08,-7.60E-01,-7.60E-01,-2.13E+07,,1.524999976,0.000760492
3.61E-08,-7.44E+00,-3.96E-06,-3.62E-08,-7.70E-01,-7.70E-01,-2.13E+07,,1.519999981,0.000751255
3.66E-08,-7.44E+00,-4.63E-06,-3.67E-08,-7.80E-01,-7.80E-01,-2.13E+07,,1.514999986,0.000742076
3.73E-08,-7.43E+00,-4.21E-06,-3.74E-08,-7.90E-01,-7.90E-01,-2.12E+07,,1.50999999,0.00073308
3.79E-08,-7.42E+00,-4.04E-06,-3.80E-08,-8.00E-01,-8.00E-01,-2.11E+07,,1.504999995,0.000724136
3.86E-08,-7.41E+00,-3.71E-06,-3.87E-08,-8.10E-01,-8.10E-01,-2.10E+07,,1.5,0.00071536
3.90E-08,-7.41E+00,-3.62E-06,-3.91E-08,-8.20E-01,-8.20E-01,-2.10E+07,,1.495000005,0.000706609
3.96E-08,-7.40E+00,-2.62E-06,-3.97E-08,-8.30E-01,-8.30E-01,-2.10E+07,,1.49000001,0.000698037
4.01E-08,-7.40E+00,-3.62E-06,-4.02E-08,-8.40E-01,-8.40E-01,-2.09E+07,,1.485000014,0.000689511
4.07E-08,-7.39E+00,-3.62E-06,-4.08E-08,-8.50E-01,-8.50E-01,-2.09E+07,,1.480000019,0.000681151
4.14E-08,-7.38E+00,-3.12E-06,-4.15E-08,-8.60E-01,-8.60E-01,-2.08E+07,,1.475000024,0.000672925
4.18E-08,-7.38E+00,-3.54E-06,-4.19E-08,-8.70E-01,-8.70E-01,-2.08E+07,,1.470000029,0.000664752
4.27E-08,-7.37E+00,-3.71E-06,-4.28E-08,-8.80E-01,-8.80E-01,-2.06E+07,,1.465000033,0.000656604
4.33E-08,-7.36E+00,-4.29E-06,-4.34E-08,-8.90E-01,-8.90E-01,-2.06E+07,,1.460000038,0.000648605
4.40E-08,-7.36E+00,-3.45E-06,-4.41E-08,-9.00E-01,-9.00E-01,-2.04E+07,,1.455000043,0.000640657
4.46E-08,-7.35E+00,-3.45E-06,-4.47E-08,-9.10E-01,-9.10E-01,-2.04E+07,,1.450000048,0.000632837
4.52E-08,-7.34E+00,-3.62E-06,-4.53E-08,-9.20E-01,-9.20E-01,-2.03E+07,,1.445000052,0.000625058
4.58E-08,-7.34E+00,-1.95E-06,-4.59E-08,-9.30E-01,-9.30E-01,-2.03E+07,,1.440000057,0.000617415
4.66E-08,-7.33E+00,-2.95E-06,-4.67E-08,-9.40E-01,-9.40E-01,-2.02E+07,,1.434999943,0.000609795
4.73E-08,-7.33E+00,-3.71E-06,-4.74E-08,-9.50E-01,-9.50E-01,-2.01E+07,,1.429999948,0.000602319
4.79E-08,-7.32E+00,-2.79E-06,-4.80E-08,-9.60E-01,-9.60E-01,-2.00E+07,,1.424999952,0.000594871
4.85E-08,-7.31E+00,-2.87E-06,-4.85E-08,-9.70E-01,-9.70E-01,-2.00E+07,,1.419999957,0.000587541
4.91E-08,-7.31E+00,-3.96E-06,-4.92E-08,-9.80E-01,-9.80E-01,-2.00E+07,,1.414999962,0.000580353
4.93E-08,-7.31E+00,-2.95E-06,-4.92E-08,-9.90E-01,-9.90E-01,-2.01E+07,,1.409999967,0.000573205
4.99E-08,-7.30E+00,-1.86E-06,-4.98E-08,-1.00E+00,-1.00E+00,-2.01E+07,,1.404999971,0.00056604
4.97E-08,-7.30E+00,-1.14E-05,-4.96E-08,-1.01E+00,-1.01E+00,-2.03E+07,,1.399999976,0.000559001
5.07E-08,-7.29E+00,-1.11E-05,-5.05E-08,-1.02E+00,-1.02E+00,-2.01E+07,,1.394999981,0.000551984
5.15E-08,-7.29E+00,-1.11E-05,-5.14E-08,-1.03E+00,-1.03E+00,-2.00E+07,,1.389999986,0.00054509
5.23E-08,-7.28E+00,-1.14E-05,-5.22E-08,-1.04E+00,-1.04E+00,-1.99E+07,,1.38499999,0.000538266
5.31E-08,-7.27E+00,-1.08E-05,-5.30E-08,-1.05E+00,-1.05E+00,-1.98E+07,,1.379999995,0.00053146
5.39E-08,-7.27E+00,-1.13E-05,-5.37E-08,-1.06E+00,-1.06E+00,-1.97E+07,,1.375,0.000524766
5.48E-08,-7.26E+00,-1.01E-05,-5.47E-08,-1.07E+00,-1.07E+00,-1.95E+07,,1.370000005,0.000518094
5.54E-08,-7.26E+00,-1.07E-05,-5.53E-08,-1.08E+00,-1.08E+00,-1.95E+07,,1.36500001,0.000511531
5.62E-08,-7.25E+00,-1.13E-05,-5.60E-08,-1.09E+00,-1.09E+00,-1.94E+07,,1.360000014,0.000504995
5.71E-08,-7.24E+00,-1.12E-05,-5.70E-08,-1.10E+00,-1.10E+00,-1.93E+07,,1.355000019,0.000498567
5.82E-08,-7.24E+00,-9.81E-06,-5.80E-08,-1.11E+00,-1.11E+00,-1.91E+07,,1.350000024,0.000492158
5.88E-08,-7.23E+00,-1.13E-05,-5.87E-08,-1.12E+00,-1.12E+00,-1.90E+07,,1.345000029,0.000485846
5.97E-08,-7.22E+00,-1.12E-05,-5.95E-08,-1.13E+00,-1.13E+00,-1.89E+07,,1.340000033,0.000479564
6.03E-08,-7.22E+00,-1.04E-05,-6.01E-08,-1.14E+00,-1.14E+00,-1.89E+07,,1.335000038,0.000473388
6.10E-08,-7.21E+00,-1.02E-05,-6.09E-08,-1.15E+00,-1.15E+00,-1.88E+07,,1.330000043,0.000467218
6.18E-08,-7.21E+00,-1.13E-05,-6.17E-08,-1.16E+00,-1.16E+00,-1.88E+07,,1.325000048,0.000461187
6.28E-08,-7.20E+00,-1.11E-05,-6.27E-08,-1.17E+00,-1.17E+00,-1.86E+07,,1.320000052,0.000455169
6.38E-08,-7.20E+00,-1.09E-05,-6.37E-08,-1.18E+00,-1.18E+00,-1.85E+07,,1.315000057,0.000449204
6.52E-08,-7.19E+00,-1.09E-05,-6.51E-08,-1.19E+00,-1.19E+00,-1.82E+07,,1.309999943,0.000443246
6.59E-08,-7.18E+00,-1.05E-05,-6.57E-08,-1.20E+00,-1.20E+00,-1.82E+07,,1.304999948,0.000437383
6.68E-08,-7.18E+00,-1.03E-05,-6.66E-08,-1.21E+00,-1.21E+00,-1.81E+07,,1.299999952,0.000431539
6.75E-08,-7.17E+00,-1.16E-05,-6.74E-08,-1.22E+00,-1.22E+00,-1.81E+07,,,
6.85E-08,-7.16E+00,-1.05E-05,-6.84E-08,-1.23E+00,-1.23E+00,-1.80E+07,,,
6.95E-08,-7.16E+00,-1.06E-05,-6.94E-08,-1.24E+00,-1.24E+00,-1.78E+07,,,
7.06E-08,-7.15E+00,-1.16E-05,-7.05E-08,-1.25E+00,-1.25E+00,-1.77E+07,,,
7.16E-08,-7.15E+00,-1.05E-05,-7.15E-08,-1.26E+00,-1.26E+00,-1.76E+07,,,
7.27E-08,-7.14E+00,-1.19E-05,-7.25E-08,-1.27E+00,-1.27E+00,-1.75E+07,,,
7.43E-08,-7.13E+00,-1.06E-05,-7.42E-08,-1.28E+00,-1.28E+00,-1.72E+07,,,
7.53E-08,-7.12E+00,-1.04E-05,-7.52E-08,-1.29E+00,-1.29E+00,-1.71E+07,,,
7.64E-08,-7.12E+00,-1.05E-05,-7.63E-08,-1.30E+00,-1.30E+00,-1.70E+07,,,
7.72E-08,-7.11E+00,-1.03E-05,-7.70E-08,-1.31E+00,-1.31E+00,-1.70E+07,,,
7.85E-08,-7.11E+00,-9.65E-06,-7.84E-08,-1.32E+00,-1.32E+00,-1.68E+07,,,
7.97E-08,-7.10E+00,-1.07E-05,-7.96E-08,-1.33E+00,-1.33E+00,-1.67E+07,,,
8.06E-08,-7.09E+00,-1.01E-05,-8.05E-08,-1.34E+00,-1.34E+00,-1.66E+07,,,
8.17E-08,-7.09E+00,-1.07E-05,-8.16E-08,-1.35E+00,-1.35E+00,-1.65E+07,,,
8.30E-08,-7.08E+00,-9.98E-06,-8.29E-08,-1.36E+00,-1.36E+00,-1.64E+07,,,
8.41E-08,-7.08E+00,-9.31E-06,-8.40E-08,-1.37E+00,-1.37E+00,-1.63E+07,,,
8.46E-08,-7.07E+00,-1.01E-05,-8.44E-08,-1.38E+00,-1.38E+00,-1.63E+07,,,
8.57E-08,-7.07E+00,-1.04E-05,-8.56E-08,-1.39E+00,-1.39E+00,-1.62E+07,,,
8.73E-08,-7.06E+00,-1.09E-05,-8.72E-08,-1.40E+00,-1.40E+00,-1.60E+07,,,
8.90E-08,-7.05E+00,-1.10E-05,-8.89E-08,-1.41E+00,-1.41E+00,-1.58E+07,,,
9.04E-08,-7.04E+00,-9.81E-06,-9.03E-08,-1.42E+00,-1.42E+00,-1.57E+07,,,
9.12E-08,-7.04E+00,-1.02E-05,-9.11E-08,-1.43E+00,-1.43E+00,-1.57E+07,,,
9.26E-08,-7.03E+00,-1.02E-05,-9.24E-08,-1.44E+00,-1.44E+00,-1.56E+07,,,
9.41E-08,-7.03E+00,-1.04E-05,-9.40E-08,-1.45E+00,-1.45E+00,-1.54E+07,,,
9.52E-08,-7.02E+00,-9.81E-06,-9.51E-08,-1.46E+00,-1.46E+00,-1.53E+07,,,
9.66E-08,-7.02E+00,-9.90E-06,-9.65E-08,-1.47E+00,-1.47E+00,-1.52E+07,,,
9.82E-08,-7.01E+00,-1.02E-05,-9.81E-08,-1.48E+00,-1.48E+00,-1.51E+07,,,
9.94E-08,-7.00E+00,-9.65E-06,-9.93E-08,-1.49E+00,-1.49E+00,-1.50E+07,,,
1.01E-07,-7.00E+00,-1.01E-05,-1.00E-07,-1.50E+00,-1.50E+00,-1.49E+07,,,
1.02E-07,-6.99E+00,-9.73E-06,-1.02E-07,-1.51E+00,-1.51E+00,-1.48E+07,,,
1.03E-07,-6.99E+00,-9.65E-06,-1.03E-07,-1.52E+00,-1.52E+00,-1.47E+07,,,
1.05E-07,-6.98E+00,-9.39E-06,-1.05E-07,-1.53E+00,-1.53E+00,-1.46E+07,,,
1.07E-07,-6.97E+00,-9.56E-06,-1.06E-07,-1.54E+00,-1.54E+00,-1.44E+07,,,
1.08E-07,-6.97E+00,-1.06E-05,-1.08E-07,-1.55E+00,-1.55E+00,-1.44E+07,,,
1.10E-07,-6.96E+00,-9.48E-06,-1.10E-07,-1.56E+00,-1.56E+00,-1.42E+07,,,
1.11E-07,-6.95E+00,-9.39E-06,-1.11E-07,-1.57E+00,-1.57E+00,-1.42E+07,,,
1.12E-07,-6.95E+00,-9.56E-06,-1.12E-07,-1.58E+00,-1.58E+00,-1.41E+07,,,
1.14E-07,-6.94E+00,-9.65E-06,-1.14E-07,-1.59E+00,-1.59E+00,-1.39E+07,,,
1.16E-07,-6.94E+00,-9.81E-06,-1.16E-07,-1.60E+00,-1.60E+00,-1.38E+07,,,
1.17E-07,-6.93E+00,-8.56E-06,-1.17E-07,-1.61E+00,-1.61E+00,-1.37E+07,,,
1.19E-07,-6.92E+00,-8.89E-06,-1.19E-07,-1.62E+00,-1.62E+00,-1.36E+07,,,
1.21E-07,-6.92E+00,-8.89E-06,-1.21E-07,-1.63E+00,-1.63E+00,-1.35E+07,,,
1.24E-07,-6.91E+00,-8.98E-06,-1.23E-07,-1.64E+00,-1.64E+00,-1.33E+07,,,
1.26E-07,-6.90E+00,-9.73E-06,-1.25E-07,-1.65E+00,-1.65E+00,-1.31E+07,,,
1.27E-07,-6.90E+00,-9.23E-06,-1.27E-07,-1.66E+00,-1.66E+00,-1.30E+07,,,
1.30E-07,-6.89E+00,-9.06E-06,-1.29E-07,-1.67E+00,-1.67E+00,-1.29E+07,,,
1.31E-07,-6.88E+00,-8.56E-06,-1.31E-07,-1.68E+00,-1.68E+00,-1.28E+07,,,
1.32E-07,-6.88E+00,-9.14E-06,-1.32E-07,-1.69E+00,-1.69E+00,-1.28E+07,,,
1.35E-07,-6.87E+00,-9.23E-06,-1.34E-07,-1.70E+00,-1.70E+00,-1.26E+07,,,
1.37E-07,-6.86E+00,-8.64E-06,-1.36E-07,-1.71E+00,-1.71E+00,-1.25E+07,,,
1.39E-07,-6.86E+00,-8.98E-06,-1.39E-07,-1.72E+00,-1.72E+00,-1.24E+07,,,
1.41E-07,-6.85E+00,-8.39E-06,-1.41E-07,-1.73E+00,-1.73E+00,-1.23E+07,,,
1.43E-07,-6.84E+00,-9.23E-06,-1.42E-07,-1.74E+00,-1.74E+00,-1.22E+07,,,
1.45E-07,-6.84E+00,-8.89E-06,-1.45E-07,-1.75E+00,-1.75E+00,-1.21E+07,,,
1.47E-07,-6.83E+00,-8.73E-06,-1.47E-07,-1.76E+00,-1.76E+00,-1.19E+07,,,
1.50E-07,-6.82E+00,-9.31E-06,-1.50E-07,-1.77E+00,-1.77E+00,-1.18E+07,,,
1.52E-07,-6.82E+00,-8.89E-06,-1.52E-07,-1.78E+00,-1.78E+00,-1.17E+07,,,
1.55E-07,-6.81E+00,-8.98E-06,-1.55E-07,-1.79E+00,-1.79E+00,-1.16E+07,,,
1.57E-07,-6.80E+00,-8.64E-06,-1.57E-07,-1.80E+00,-1.80E+00,-1.14E+07,,,
1.60E-07,-6.80E+00,-7.89E-06,-1.60E-07,-1.81E+00,-1.81E+00,-1.13E+07,,,
1.63E-07,-6.79E+00,-8.47E-06,-1.63E-07,-1.82E+00,-1.82E+00,-1.12E+07,,,
1.65E-07,-6.78E+00,-8.39E-06,-1.65E-07,-1.83E+00,-1.83E+00,-1.11E+07,,,
1.68E-07,-6.77E+00,-8.64E-06,-1.68E-07,-1.84E+00,-1.84E+00,-1.10E+07,,,
1.71E-07,-6.77E+00,-8.47E-06,-1.71E-07,-1.85E+00,-1.85E+00,-1.08E+07,,,
1.75E-07,-6.76E+00,-6.97E-06,-1.74E-07,-1.86E+00,-1.86E+00,-1.07E+07,,,
1.77E-07,-6.75E+00,-7.47E-06,-1.77E-07,-1.87E+00,-1.87E+00,-1.06E+07,,,
1.81E-07,-6.74E+00,-8.14E-06,-1.81E-07,-1.88E+00,-1.88E+00,-1.04E+07,,,
1.84E-07,-6.74E+00,-7.39E-06,-1.84E-07,-1.89E+00,-1.89E+00,-1.03E+07,,,
1.88E-07,-6.73E+00,-8.06E-06,-1.87E-07,-1.90E+00,-1.90E+00,-1.01E+07,,,
1.91E-07,-6.72E+00,-7.97E-06,-1.91E-07,-1.91E+00,-1.91E+00,-9.98E+06,,,
1.95E-07,-6.71E+00,-8.22E-06,-1.94E-07,-1.92E+00,-1.92E+00,-9.87E+06,,,
1.98E-07,-6.70E+00,-7.22E-06,-1.98E-07,-1.93E+00,-1.93E+00,-9.74E+06,,,
2.02E-07,-6.69E+00,-7.89E-06,-2.02E-07,-1.94E+00,-1.94E+00,-9.62E+06,,,
2.05E-07,-6.69E+00,-7.89E-06,-2.05E-07,-1.95E+00,-1.95E+00,-9.51E+06,,,
2.09E-07,-6.68E+00,-7.47E-06,-2.09E-07,-1.96E+00,-1.96E+00,-9.39E+06,,,
2.13E-07,-6.67E+00,-7.72E-06,-2.13E-07,-1.97E+00,-1.97E+00,-9.26E+06,,,
2.17E-07,-6.66E+00,-8.89E-06,-2.17E-07,-1.98E+00,-1.98E+00,-9.13E+06,,,
2.21E-07,-6.66E+00,-7.22E-06,-2.21E-07,-1.99E+00,-1.99E+00,-9.00E+06,,,
2.26E-07,-6.65E+00,-6.88E-06,-2.26E-07,-2.00E+00,-2.00E+00,-8.86E+06,,,
2.20E-07,-6.66E+00,-7.30E-06,-2.20E-07,-1.99E+00,-1.99E+00,-9.03E+06,,,
2.16E-07,-6.67E+00,-7.30E-06,-2.16E-07,-1.98E+00,-1.98E+00,-9.16E+06,,,
2.12E-07,-6.67E+00,-6.72E-06,-2.12E-07,-1.97E+00,-1.97E+00,-9.30E+06,,,
2.07E-07,-6.68E+00,-8.31E-06,-2.07E-07,-1.96E+00,-1.96E+00,-9.47E+06,,,
2.03E-07,-6.69E+00,-7.30E-06,-2.02E-07,-1.95E+00,-1.95E+00,-9.63E+06,,,
1.98E-07,-6.70E+00,-6.80E-06,-1.98E-07,-1.94E+00,-1.94E+00,-9.82E+06,,,
1.93E-07,-6.71E+00,-8.64E-06,-1.93E-07,-1.93E+00,-1.93E+00,-9.99E+06,,,
1.90E-07,-6.72E+00,-8.06E-06,-1.89E-07,-1.92E+00,-1.92E+00,-1.01E+07,,,
1.85E-07,-6.73E+00,-8.22E-06,-1.85E-07,-1.91E+00,-1.91E+00,-1.03E+07,,,
1.81E-07,-6.74E+00,-8.89E-06,-1.81E-07,-1.90E+00,-1.90E+00,-1.05E+07,,,
1.78E-07,-6.75E+00,-7.97E-06,-1.78E-07,-1.89E+00,-1.89E+00,-1.06E+07,,,
1.74E-07,-6.76E+00,-8.06E-06,-1.74E-07,-1.88E+00,-1.88E+00,-1.08E+07,,,
1.71E-07,-6.77E+00,-8.47E-06,-1.71E-07,-1.87E+00,-1.87E+00,-1.10E+07,,,
1.67E-07,-6.78E+00,-9.48E-06,-1.67E-07,-1.86E+00,-1.86E+00,-1.12E+07,,,
1.64E-07,-6.79E+00,-8.22E-06,-1.64E-07,-1.85E+00,-1.85E+00,-1.13E+07,,,
1.60E-07,-6.80E+00,-8.56E-06,-1.60E-07,-1.84E+00,-1.84E+00,-1.15E+07,,,
1.57E-07,-6.80E+00,-9.23E-06,-1.57E-07,-1.83E+00,-1.83E+00,-1.17E+07,,,
1.54E-07,-6.81E+00,-9.31E-06,-1.54E-07,-1.82E+00,-1.82E+00,-1.18E+07,,,
1.51E-07,-6.82E+00,-9.81E-06,-1.51E-07,-1.81E+00,-1.81E+00,-1.20E+07,,,
1.48E-07,-6.83E+00,-9.39E-06,-1.48E-07,-1.80E+00,-1.80E+00,-1.21E+07,,,
1.45E-07,-6.84E+00,-1.01E-05,-1.45E-07,-1.79E+00,-1.79E+00,-1.23E+07,,,
1.43E-07,-6.84E+00,-9.39E-06,-1.43E-07,-1.78E+00,-1.78E+00,-1.25E+07,,,
1.40E-07,-6.85E+00,-9.48E-06,-1.40E-07,-1.77E+00,-1.77E+00,-1.27E+07,,,
1.37E-07,-6.86E+00,-1.03E-05,-1.37E-07,-1.76E+00,-1.76E+00,-1.28E+07,,,
1.35E-07,-6.87E+00,-9.48E-06,-1.35E-07,-1.75E+00,-1.75E+00,-1.30E+07,,,
1.33E-07,-6.88E+00,-9.23E-06,-1.33E-07,-1.74E+00,-1.74E+00,-1.31E+07,,,
1.30E-07,-6.89E+00,-9.39E-06,-1.30E-07,-1.73E+00,-1.73E+00,-1.33E+07,,,
1.28E-07,-6.89E+00,-9.73E-06,-1.28E-07,-1.72E+00,-1.72E+00,-1.35E+07,,,
1.25E-07,-6.90E+00,-9.48E-06,-1.25E-07,-1.71E+00,-1.71E+00,-1.37E+07,,,
1.23E-07,-6.91E+00,-1.01E-05,-1.23E-07,-1.70E+00,-1.70E+00,-1.38E+07,,,
1.21E-07,-6.92E+00,-1.01E-05,-1.21E-07,-1.69E+00,-1.69E+00,-1.40E+07,,,
